image_name,400,500,600,drop_400_500,drop_500_600,drop_total
01995.jpg,23.2250714302063,19.22816753387451,15.708670616149902,3.996903896331787,3.5194969177246094,7.5164008140563965
00597.jpg,21.06346607208252,17.99130082130432,13.719154596328735,3.0721652507781982,4.272146224975586,7.344311475753784
00480.jpg,19.10572528839112,15.969235897064207,11.812856197357178,3.136489391326913,4.1563796997070295,7.292869091033943
01759.jpg,19.29339289665222,15.939491987228394,12.006652355194092,3.353900909423828,3.9328396320343018,7.28674054145813
01988.jpg,21.18536949157715,18.49098324775696,13.90681505203247,2.694386243820187,4.584168195724491,7.278554439544678
00708.jpg,20.487699508666992,16.969692707061768,13.279850482940674,3.5180068016052246,3.6898422241210938,7.207849025726318
00378.jpg,20.206644535064697,18.040281534194943,13.000150918960571,2.1663630008697545,5.0401306152343714,7.206493616104126
00866.jpg,20.83037614822388,18.38067412376404,13.79218816757202,2.449702024459839,4.588485956192022,7.038187980651861
00220.jpg,20.670616626739506,18.22527766227722,14.016367197036743,2.445338964462284,4.2089104652404785,6.654249429702762
00963.jpg,22.39065170288086,19.57093715667725,15.756124258041382,2.8197145462036097,3.814812898635868,6.6345274448394775
