image_name,psnr_300,psnr_330,psnr_380,psnr_400,psnr_420,psnr_500,psnr_600,psnr_slope,psnr_delta,psnr_auc
01581.jpg,23.8364577293396,23.039491176605225,22.238364219665527,21.8251633644104,21.711671352386475,21.156761646270752,18.55744361877441,0.0175967137018839,5.279014110565189,6411.536824703217
01929.jpg,22.219161987304688,21.98560476303101,20.554463863372803,20.59868574142456,19.97355580329895,18.67516279220581,16.64897322654724,0.0185672958691914,5.570188760757446,5855.982673168182
00323.jpg,21.52945041656494,21.31316900253296,20.16792297363281,19.685922861099243,20.223727226257324,18.147668838500977,15.888822078704834,0.0188020944595336,5.640628337860107,5713.981938362122
01680.jpg,21.157326698303223,20.79270601272583,20.299649238586422,20.02969980239868,19.65185284614563,17.451552152633667,15.45501947402954,0.0190076907475789,5.702307224273683,5586.133170127869
00740.jpg,23.224799633026123,21.848814487457275,21.797707080841064,21.009621620178223,21.070537567138672,18.64295721054077,17.49497413635254,0.0190994183222452,5.729825496673584,6011.578488349915
00498.jpg,22.914128303527832,22.9591965675354,21.56046867370605,22.0099139213562,20.81861019134521,19.72635507583618,17.102993726730347,0.0193704485893249,5.811134576797485,6128.346621990204
00092.jpg,21.561484336853027,20.981523990631104,19.748090505599976,19.759411811828613,19.50079083442688,17.700244188308716,15.71440815925598,0.0194902539253234,5.847076177597048,5602.836555242538
01689.jpg,22.425873279571533,21.72193050384521,20.87661027908325,20.39624691009521,19.27777647972107,18.995652198791504,16.47633671760559,0.0198317885398864,5.949536561965942,5841.185975074768
00299.jpg,22.32580184936523,21.96082353591919,21.46701574325561,20.747487545013428,20.682196617126465,17.97529935836792,16.358368396759033,0.0198914448420206,5.967433452606201,5849.420464038849
00934.jpg,22.205047607421875,22.26204395294189,20.66873073577881,20.262224674224857,20.337023735046387,18.415980339050293,16.155771017074585,0.0201642553011576,6.04927659034729,5834.285509586334
00507.jpg,21.925625801086422,21.511449813842773,20.41943311691284,20.61388254165649,19.95381236076355,18.34099650382996,15.87002158164978,0.0201853473981221,6.055604219436642,5758.181571960449
01419.jpg,22.165992259979248,22.013676166534424,20.91111660003662,20.69115400314331,21.180541515350345,18.126529455184937,16.100761890411377,0.0202174345652262,6.065230369567871,5854.201912879944
01688.jpg,21.303632259368896,21.452293395996097,20.36614179611206,19.919391870498657,19.43451881408692,17.49495506286621,15.179556608200071,0.020413585503896,6.124075651168825,5594.098746776581
00268.jpg,24.02778148651123,22.645463943481445,22.49508619308472,21.81323528289795,21.66444540023804,20.427138805389404,17.854613065719604,0.0205772280693054,6.173168420791626,6304.223418235779
01626.jpg,21.57500982284546,21.52697324752808,20.72936773300171,20.36439657211304,19.742236137390137,17.845826148986816,15.328792333602903,0.0208207249641418,6.2462174892425555,5677.195656299591
01405.jpg,22.03128337860108,21.279056072235107,20.708467960357662,20.12402534484864,19.823384284973145,17.76559829711914,15.78354001045227,0.0208258112271627,6.247743368148811,5688.158440589905
01873.jpg,22.06082820892334,21.278913021087646,21.03501558303833,20.18240451812744,20.056395530700684,17.67695188522339,15.697622299194336,0.0212106863657633,6.363205909729004,5700.569140911102
01414.jpg,22.09463834762573,21.19374990463257,20.48088788986206,19.804141521453857,19.370259046554565,17.506529092788696,15.699981451034546,0.0213155229886372,6.394656896591183,5621.183121204376
01531.jpg,21.952145099639893,21.38561487197876,21.20555877685547,20.12442827224731,20.12397766113281,18.688342571258545,15.553377866744995,0.0213292241096496,6.3987672328948975,5795.208501815796
00287.jpg,22.46510982513428,22.19367027282715,21.182425022125244,21.17494106292725,20.812246799469,19.22537922859192,16.059774160385132,0.0213511188824971,6.405335664749149,5963.492333889008
